net,length_um
_1755_,33.86µm
net18,33.84µm
_2685_,33.78µm
_2515_,33.66µm
_2524_,33.6µm
_1615_,33.46µm
_2210_,33.34µm
_1949_,33.26µm
_0215_,33.14µm
_1674_,33.04µm
_2513_,32.9µm
_1782_,32.8µm
_1801_,32.72µm
_2185_,32.62µm
_1761_,32.6µm
_2452_,32.52µm
_2458_,32.505µm
_2945_,32.46µm
_2639_,32.42µm
_0964_,32.395µm
_2607_,32.32µm
_0351_,32.285µm
_2406_,32.16µm
_1978_,32.12µm
_0222_,32.04µm
_1318_,32.04µm
_2778_,32µm
dsp.u_mac.acc_reg\[29\],32µm
net19,32µm
_0121_,31.88µm
_0996_,31.88µm
_3006_,31.84µm
_1032_,31.8µm
_1878_,31.685µm
_1650_,31.46µm
_1595_,31.4µm
_2447_,31.36µm
_1202_,31.26µm
_2868_,31.24µm
_2371_,31.23µm
core.dsp_result_in\[30\],31.16µm
_1480_,31.1µm
_1884_,31.06µm
_1155_,30.905µm
_0267_,30.58µm
_0366_,30.52µm
core.u_regfile.registers\[2\]\[30\],30.52µm
_2883_,30.48µm
_0829_,30.36µm
_2601_,30.36µm
_0117_,30.34µm
_0286_,30.3µm
_2000_,30.24µm
_0400_,30.2µm
_1357_,30.12µm
_2972_,30.1µm
_0219_,30.08µm
_1584_,30.08µm
_0164_,29.92µm
_1350_,29.82µm
_1910_,29.72µm
_2375_,29.66µm
_2540_,29.6µm
core.dsp_result_in\[28\],29.58µm
_0183_,29.44µm
_2581_,29.44µm
_1627_,29.36µm
_0119_,29.3µm
_1585_,29.28µm
_0313_,29.24µm
_1746_,29.06µm
_0797_,28.86µm
_0194_,28.74µm
_2055_,28.695µm
_1450_,28.62µm
_2332_,28.6µm
_0503_,28.56µm
_2152_,28.56µm
_0585_,28.52µm
_1031_,28.5µm
_2968_,28.48µm
_2620_,28.46µm
_1916_,28.36µm
_0247_,28.32µm
_0317_,28.265µm
_0423_,28.2µm
_0495_,28.18µm
_0534_,28.18µm
_2546_,28.14µm
_3040_,28.06µm
_1711_,28.02µm
_0506_,28µm
_2649_,28µm
_1210_,27.88µm
_2128_,27.78µm
_2368_,27.78µm
_0939_,27.7µm
_3010_,27.68µm
_1022_,27.66µm
_0592_,27.64µm
_1623_,27.64µm
_1679_,27.58µm
net283,27.565µm
_2046_,27.48µm
_2261_,27.48µm
_1478_,27.42µm
_0450_,27.38µm
_0289_,27.36µm
_2451_,27.28µm
_2691_,27.28µm
_1984_,27.26µm
_0555_,27.18µm
core.dsp_result_in\[24\],27.14µm
_2061_,27.02µm
_1370_,27.01µm
_1972_,26.94µm
_1860_,26.9µm
_0192_,26.86µm
core.dsp_result_in\[3\],26.86µm
_0419_,26.81µm
_2820_,26.785µm
_2582_,26.78µm
core.dsp_result_in\[31\],26.78µm
_1491_,26.76µm
_2162_,26.68µm
_0963_,26.64µm
_0811_,26.6µm
_2950_,26.545µm
_1643_,26.46µm
_2799_,26.46µm
_1348_,26.42µm
_2729_,26.38µm
_0277_,26.36µm
_1332_,26.345µm
_1067_,26.28µm
_1617_,26.2µm
_1021_,26.18µm
_0640_,26.14µm
_0460_,26.12µm
_2383_,26.06µm
_1552_,25.94µm
_1683_,25.84µm
_2161_,25.78µm
_1803_,25.72µm
_2432_,25.675µm
_2734_,25.64µm
_0220_,25.62µm
_3038_,25.62µm
_2648_,25.6µm
_1528_,25.56µm
_1587_,25.42µm
_1294_,25.38µm
_1731_,25.38µm
_2651_,25.38µm
_1293_,25.32µm
_0477_,25.28µm
core.dsp_result_in\[22\],25.26µm
_3033_,25.24µm
_2841_,25.22µm
_2007_,25.14µm
_2731_,25.08µm
_3027_,25.065µm
_0142_,24.98µm
_0417_,24.9µm
_2482_,24.86µm
_2999_,24.82µm
_2579_,24.8µm
_0535_,24.72µm
_3035_,24.64µm
_2392_,24.62µm
_0318_,24.52µm
_0424_,24.52µm
_2096_,24.42µm
_1800_,24.38µm
dsp.u_mac.acc_reg\[31\],24.34µm
_1353_,24.32µm
_0278_,24.3µm
_1586_,24.28µm
_1670_,24.28µm
_1993_,24.28µm
_0639_,24.24µm
core.u_regfile.registers\[1\]\[24\],24.24µm
_1512_,24.22µm
_2593_,24.22µm
_0174_,24.14µm
_1781_,24.14µm
_1449_,23.98µm
_1980_,23.98µm
_1406_,23.96µm
_1877_,23.82µm
_1946_,23.8µm
_0200_,23.77µm
_2163_,23.65µm
_2909_,23.64µm
core.u_regfile.registers\[1\]\[19\],23.6µm
_1722_,23.54µm
_2339_,23.46µm
_1277_,23.44µm
_0173_,23.42µm
_2659_,23.38µm
net20,23.22µm
_1395_,23.18µm
net21,23.16µm
_1172_,23.14µm
_1444_,23.14µm
_0314_,23.12µm
_2260_,23.06µm
_2440_,23.02µm
_2500_,22.84µm
_1346_,22.82µm
_2617_,22.8µm
core.dsp_result_in\[29\],22.8µm
_2390_,22.79µm
dsp.u_mac.acc_reg\[22\],22.78µm
_2881_,22.745µm
_0125_,22.66µm
_0895_,22.62µm
_1058_,22.58µm
_2348_,22.58µm
_1235_,22.56µm
_0356_,22.54µm
_1312_,22.52µm
core.inst_addr_out\[25\],22.5µm
_1694_,22.48µm
_2091_,22.46µm
_2774_,22.4µm
_0157_,22.385µm
_1518_,22.38µm
_2334_,22.38µm
_0490_,22.3µm
_0752_,22.29µm
_0377_,22.28µm
_0893_,22.26µm
_1423_,22.26µm
_2258_,22.24µm
_0669_,22.2µm
_0741_,22.11µm
_0420_,22.06µm
_2340_,22.04µm
net2,21.98µm
_1675_,21.92µm
_1975_,21.88µm
_1667_,21.8µm
_2366_,21.78µm
_2611_,21.78µm
_0960_,21.72µm
_0425_,21.7µm
_2629_,21.7µm
_0399_,21.66µm
_1653_,21.62µm
_2797_,21.62µm
_1529_,21.57µm
_0459_,21.54µm
_1616_,21.5µm
_1582_,21.46µm
_2921_,21.4µm
_0112_,21.36µm
_0268_,21.32µm
_1669_,21.26µm
_1475_,21.24µm
_2595_,21.2µm
core.dsp_result_in\[14\],21.12µm
core.u_regfile.registers\[2\]\[31\],21.12µm
_0532_,21.08µm
_1836_,21.08µm
_2538_,21.06µm
_1602_,21.04µm
core.dsp_result_in\[19\],21µm
core.dsp_result_in\[8\],21µm
net327,21µm
_1960_,20.96µm
_0270_,20.94µm
_2913_,20.88µm
_0176_,20.84µm
_0497_,20.84µm
_1349_,20.82µm
_1309_,20.785µm
_2351_,20.78µm
_1439_,20.72µm
_2824_,20.64µm
_0382_,20.615µm
_1872_,20.56µm
_2535_,20.54µm
core.dsp_result_in\[7\],20.5µm
_2062_,20.46µm
_0500_,20.4µm
core.dsp_result_in\[25\],20.38µm
_1759_,20.36µm
_1178_,20.34µm
_2668_,20.34µm
_1614_,20.32µm
_2469_,20.31µm
_0572_,20.26µm
dsp.u_mac.acc_reg\[23\],20.22µm
_1171_,20.14µm
_1555_,20.14µm
_1457_,20.12µm
core.dsp_result_in\[9\],20.12µm
_1026_,20.06µm
_1111_,20.06µm
_1118_,20.06µm
_0185_,20.04µm
_2001_,20.02µm
_1744_,20.005µm
_2445_,19.98µm
_2399_,19.96µm
_2504_,19.94µm
_2667_,19.925µm
_2674_,19.88µm
_1588_,19.86µm
_2930_,19.86µm
_1919_,19.82µm
_1164_,19.8µm
_1915_,19.8µm
_0421_,19.78µm
_1661_,19.78µm
_1818_,19.78µm
_2576_,19.78µm
_2301_,19.74µm
_2516_,19.74µm
_1108_,19.7µm
_1305_,19.7µm
_1715_,19.7µm
_2325_,19.66µm
_0714_,19.6µm
_2802_,19.59µm
_0926_,19.58µm
_0898_,19.54µm
_1025_,19.52µm
_2125_,19.52µm
_2539_,19.52µm
_2666_,19.52µm
_2139_,19.48µm
_0078_,19.46µm
_0531_,19.4µm
_0199_,19.36µm
_1003_,19.36µm
_1136_,19.36µm
_1174_,19.36µm
_2836_,19.32µm
_0984_,19.28µm
_1581_,19.28µm
_2985_,19.24µm
_0735_,19.22µm
_2095_,19.22µm
_2547_,19.2µm
_0395_,19.16µm
_2475_,19.14µm
_1063_,19.08µm
_2645_,19.06µm
_1846_,19.04µm
dsp.u_mac.acc_reg\[10\],18.92µm
_2735_,18.9µm
_2766_,18.89µm
net328,18.86µm
_1977_,18.82µm
_0528_,18.78µm
_1769_,18.74µm
_2819_,18.74µm
_1819_,18.72µm
core.inst_addr_out\[7\],18.68µm
_0536_,18.665µm
net322,18.6µm
_0263_,18.58µm
_1795_,18.58µm
dsp.u_mac.acc_reg\[25\],18.56µm
_0127_,18.52µm
core.inst_addr_out\[20\],18.52µm
core.inst_addr_out\[18\],18.5µm
_2784_,18.48µm
_1504_,18.36µm
_1073_,18.32µm
_2928_,18.32µm
_1160_,18.28µm
_0253_,18.26µm
_1327_,18.245µm
_2669_,18.22µm
_1048_,18.2µm
_1876_,18.2µm
core.inst_addr_out\[13\],18.2µm
_0892_,18.18µm
_1658_,18.14µm
_1101_,18.12µm
_2037_,18.11µm
_0285_,18.1µm
_2183_,18.08µm
_1527_,18.06µm
_1865_,18.04µm
core.inst_addr_out\[12\],18.04µm
_0621_,18.02µm
_0973_,18.02µm
_1847_,18µm
_2805_,18µm
_1488_,17.985µm
_2312_,17.98µm
_0951_,17.96µm
core.inst_addr_out\[17\],17.96µm
_1175_,17.94µm
_2544_,17.92µm
_2920_,17.88µm
_1863_,17.875µm
_2853_,17.86µm
_0264_,17.84µm
_1499_,17.84µm
